Player,Team,Affiliation,Year,"Round
 Number","Round
 Pick","Overall
 Pick"
"<!----><a ng-href=""/stats/player/1630578/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630578/""> Alperen Sengun <!----> <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Oklahoma City Thunder",Besiktas (Turkey),2021,1,16,16
"<!----><a ng-href=""/stats/player/1629685/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1629685/""> Dylan Windler <!----> <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Belmont,2019,1,26,26
"<!----><a ng-href=""/stats/player/1630558/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630558/""> Davion Mitchell <!----> <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Sacramento Kings",Baylor,2021,1,9,9
"<!----><a ng-href=""/stats/player/1627752/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1627752/""> Taurean Prince <!----> <!---->","<a ng-href=""/stats/team/1610612762/"" href=""/stats/team/1610612762/"">Utah Jazz",Baylor,2016,1,12,12
"<!----><a ng-href=""/stats/player/203103/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/203103/""> Perry Jones III <!----> <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Oklahoma City Thunder",Baylor,2012,1,28,28
"<!----><a ng-href=""/stats/player/202327/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/202327/""> Ekpe Udoh <!----> <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Golden State Warriors",Baylor,2010,1,6,6
"<!----><a ng-href=""/stats/player/1730/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1730/""> Brian Skinner <!----> <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Los Angeles Clippers",Baylor,1998,1,22,22
"<!----><a ng-href=""/stats/player/78304/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78304/""> Terry Teagle <!----> <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Baylor,1982,1,16,16
"<!----><a ng-href=""/stats/player/77167/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77167/""> Vinnie Johnson <!----> <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Baylor,1979,1,7,7
"<!----><a ng-href=""/stats/player/203471/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/203471/""> Dennis Schroder <!----> <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Basketball Lowen Braunschweig (Germany),2013,1,17,17
"<!----><a ng-href=""/stats/player/203507/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/203507/""> Giannis Antetokounmpo <!----> <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Basket Zaragoza 2002 (Spain),2013,1,15,15
"<!----><a ng-href=""/stats/player/1893/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1893/""> Aleksandar Radojevic <!----> <!---->","<a ng-href=""/stats/team/1610612761/"" href=""/stats/team/1610612761/"">Toronto Raptors",Barton Community College,1999,1,12,12
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Fran Vazquez <!---->","<a ng-href=""/stats/team/1610612753/"" href=""/stats/team/1610612753/"">Orlando Magic",Baloncesto Malaga (Spain),2005,1,11,11
"<!----><a ng-href=""/stats/player/202687/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/202687/""> Bismack Biyombo <!----> <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Sacramento Kings",Baloncesto Fuenlabrada (Spain),2011,1,7,7
"<!----><a ng-href=""/stats/player/1719/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1719/""> Bonzi Wells <!----> <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Ball State,1998,1,11,11
"<!----><a ng-href=""/stats/player/2741/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2741/""> Robert Swift <!----> <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Bakersfield,2004,1,12,12
"<!----><a ng-href=""/stats/player/2740/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2740/""> Andris Biedrins <!----> <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Golden State Warriors",BK Skonto (Latvia),2004,1,11,11
"<!----><a ng-href=""/stats/player/717/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/717/""> Arvydas Sabonis <!----> <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",BC Zalgiris (Lithuania),1986,1,24,24
"<!----><a ng-href=""/stats/player/203517/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/203517/""> Nemanja Nedovic <!----> <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",BC Lietuvos rytas (Lithuania),2013,1,30,30
"<!----><a ng-href=""/stats/player/202685/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/202685/""> Jonas Valanciunas <!----> <!---->","<a ng-href=""/stats/team/1610612761/"" href=""/stats/team/1610612761/"">Toronto Raptors",BC Lietuvos rytas (Lithuania),2011,1,5,5
"<!----><a ng-href=""/stats/player/982/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/982/""> Martin Muursepp <!----> <!---->","<a ng-href=""/stats/team/1610612762/"" href=""/stats/team/1610612762/"">Utah Jazz",BC Kalev/Cramo (Estonia),1996,1,25,25
"<!----><a ng-href=""/stats/player/203508/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/203508/""> Sergey Karasev <!----> <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",B.C. Zenit Saint Petersburg (Russia),2013,1,19,19
"<!----><a ng-href=""/stats/player/203957/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/203957/""> Dante Exum <!----> <!---->","<a ng-href=""/stats/team/1610612762/"" href=""/stats/team/1610612762/"">Utah Jazz",Australian Institute of Sport (Australia),2014,1,5,5
"<!----><a ng-href=""/stats/player/1904/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1904/""> Devean George <!----> <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Augsburg,1999,1,23,23
"<!----><a ng-href=""/stats/player/1630171/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630171/""> Isaac Okoro <!----> <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Auburn,2020,1,5,5
"<!----><a ng-href=""/stats/player/1629643/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1629643/""> Chuma Okeke <!----> <!---->","<a ng-href=""/stats/team/1610612753/"" href=""/stats/team/1610612753/"">Orlando Magic",Auburn,2019,1,16,16
"<!----><a ng-href=""/stats/player/2055/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2055/""> Mamadou N'diaye <!----> <!---->","<a ng-href=""/stats/team/1610612743/"" href=""/stats/team/1610612743/"">Denver Nuggets",Auburn,2000,1,26,26
"<!----><a ng-href=""/stats/player/445/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/445/""> Wesley Person <!----> <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Auburn,1994,1,23,23
"<!----><a ng-href=""/stats/player/356/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/356/""> Chris Morris <!----> <!---->","<a ng-href=""/stats/team/1610612751/"" href=""/stats/team/1610612751/"">New Jersey Nets",Auburn,1988,1,4,4
"<!----><a ng-href=""/stats/player/456/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/456/""> Chuck Person <!----> <!---->","<a ng-href=""/stats/team/1610612754/"" href=""/stats/team/1610612754/"">Indiana Pacers",Auburn,1986,1,4,4
"<!----><a ng-href=""/stats/player/787/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/787/""> Charles Barkley <!----> <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Auburn,1984,1,5,5
"<!----><a ng-href=""/stats/player/77615/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77615/""> Mike Mitchell <!----> <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Auburn,1978,1,15,15
"<!----><a ng-href=""/stats/player/2571/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2571/""> Leandro Barbosa <!----> <!---->","<a ng-href=""/stats/team/1610612759/"" href=""/stats/team/1610612759/"">San Antonio Spurs",Associacao Bauru Basketball Team (Brazil),2003,1,28,28
"<!----><a ng-href=""/stats/player/965/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/965/""> Derek Fisher <!----> <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Arkansas-Little Rock,1996,1,24,24
"<!----><a ng-href=""/stats/player/1630541/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630541/""> Moses Moody <!----> <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Golden State Warriors",Arkansas,2021,1,14,14
"<!----><a ng-href=""/stats/player/1626171/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1626171/""> Bobby Portis <!----> <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Arkansas,2015,1,22,22
"<!----><a ng-href=""/stats/player/200758/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/200758/""> Ronnie Brewer <!----> <!---->","<a ng-href=""/stats/team/1610612762/"" href=""/stats/team/1610612762/"">Utah Jazz",Arkansas,2006,1,14,14
"<!----><a ng-href=""/stats/player/2207/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2207/""> Joe Johnson <!----> <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Arkansas,2001,1,10,10
"<!----><a ng-href=""/stats/player/722/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/722/""> Corliss Williamson <!----> <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Sacramento Kings",Arkansas,1995,1,13,13
"<!----><a ng-href=""/stats/player/103/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/103/""> Todd Day <!----> <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Arkansas,1992,1,8,8
"<!----><a ng-href=""/stats/player/932/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/932/""> Oliver Miller <!----> <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Arkansas,1992,1,22,22
"<!----><a ng-href=""/stats/player/195/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/195/""> Lee Mayberry <!----> <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Arkansas,1992,1,23,23
"<!----><a ng-href=""/stats/player/170/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/170/""> Joe Kleine <!----> <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Sacramento Kings",Arkansas,1985,1,6,6
"<!----><a ng-href=""/stats/player/926/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/926/""> Alvin Robertson <!----> <!---->","<a ng-href=""/stats/team/1610612759/"" href=""/stats/team/1610612759/"">San Antonio Spurs",Arkansas,1984,1,7,7
"<!----><a ng-href=""/stats/player/78437/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78437/""> Darrell Walker <!----> <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Arkansas,1983,1,12,12
"<!----><a ng-href=""/stats/player/77626/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77626/""> Sidney Moncrief <!----> <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Arkansas,1979,1,5,5
"<!----><a ng-href=""/stats/player/76249/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76249/""> Ron Brewer <!----> <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Arkansas,1978,1,7,7
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> George Kok <!---->","<a ng-href=""/stats/team/1610610029/"" href=""/stats/team/1610610029/"">Indianapolis Jets",Arkansas,1948,1,2,2
"<!----><a ng-href=""/stats/player/1630528/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630528/""> Josh Christopher <!----> <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Arizona State,2021,1,24,24
"<!----><a ng-href=""/stats/player/201935/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/201935/""> James Harden <!----> <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Oklahoma City Thunder",Arizona State,2009,1,3,3
"<!----><a ng-href=""/stats/player/101113/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/101113/""> Ike Diogu <!----> <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Golden State Warriors",Arizona State,2005,1,9,9
"<!----><a ng-href=""/stats/player/712/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/712/""> Mario Bennett <!----> <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Arizona State,1995,1,27,27
"<!----><a ng-href=""/stats/player/2/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2/""> Byron Scott <!----> <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">San Diego Clippers",Arizona State,1983,1,4,4
"<!----><a ng-href=""/stats/player/77376/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77376/""> Lafayette Lever <!----> <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Arizona State,1982,1,11,11
"<!----><a ng-href=""/stats/player/175/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/175/""> Alton Lister <!----> <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Arizona State,1981,1,21,21
"<!----><a ng-href=""/stats/player/77043/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77043/""> Lionel Hollins <!----> <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Arizona State,1975,1,6,6
"<!----><a ng-href=""/stats/player/76329/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76329/""> Joe Caldwell <!----> <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Arizona State,1964,1,2,2
"<!----><a ng-href=""/stats/player/1630182/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630182/""> Josh Green <!----> <!---->","<a ng-href=""/stats/team/1610612742/"" href=""/stats/team/1610612742/"">Dallas Mavericks",Arizona,2020,1,18,18
"<!----><a ng-href=""/stats/player/1630192/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630192/""> Zeke Nnaji <!----> <!---->","<a ng-href=""/stats/team/1610612743/"" href=""/stats/team/1610612743/"">Denver Nuggets",Arizona,2020,1,22,22
"<!----><a ng-href=""/stats/player/1629028/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1629028/""> Deandre Ayton <!----> <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Arizona,2018,1,1,1
"<!----><a ng-href=""/stats/player/1628374/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1628374/""> Lauri Markkanen <!----> <!---->","<a ng-href=""/stats/team/1610612750/"" href=""/stats/team/1610612750/"">Minnesota Timberwolves",Arizona,2017,1,7,7
"<!----><a ng-href=""/stats/player/1626169/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1626169/""> Stanley Johnson <!----> <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Arizona,2015,1,8,8
"<!----><a ng-href=""/stats/player/1626178/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1626178/""> Rondae Hollis-Jefferson <!----> <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Arizona,2015,1,23,23
"<!----><a ng-href=""/stats/player/203932/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/203932/""> Aaron Gordon <!----> <!---->","<a ng-href=""/stats/team/1610612753/"" href=""/stats/team/1610612753/"">Orlando Magic",Arizona,2014,1,4,4
"<!----><a ng-href=""/stats/player/203524/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/203524/""> Solomon Hill <!----> <!---->","<a ng-href=""/stats/team/1610612754/"" href=""/stats/team/1610612754/"">Indiana Pacers",Arizona,2013,1,23,23
"<!----><a ng-href=""/stats/player/202682/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/202682/""> Derrick Williams <!----> <!---->","<a ng-href=""/stats/team/1610612750/"" href=""/stats/team/1610612750/"">Minnesota Timberwolves",Arizona,2011,1,2,2
"<!----><a ng-href=""/stats/player/201941/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/201941/""> Jordan Hill <!----> <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Arizona,2009,1,8,8
"<!----><a ng-href=""/stats/player/201573/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/201573/""> Jerryd Bayless <!----> <!---->","<a ng-href=""/stats/team/1610612754/"" href=""/stats/team/1610612754/"">Indiana Pacers",Arizona,2008,1,11,11
"<!----><a ng-href=""/stats/player/101112/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/101112/""> Channing Frye <!----> <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Arizona,2005,1,8,8
"<!----><a ng-href=""/stats/player/2738/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2738/""> Andre Iguodala <!----> <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Arizona,2004,1,9,9
"<!----><a ng-href=""/stats/player/2210/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2210/""> Richard Jefferson <!----> <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Arizona,2001,1,13,13
"<!----><a ng-href=""/stats/player/1891/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1891/""> Jason Terry <!----> <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Arizona,1999,1,10,10
"<!----><a ng-href=""/stats/player/1710/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1710/""> Mike Bibby <!----> <!---->","<a ng-href=""/stats/team/1610612763/"" href=""/stats/team/1610612763/"">Vancouver Grizzlies",Arizona,1998,1,2,2
"<!----><a ng-href=""/stats/player/1722/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1722/""> Michael Dickerson <!----> <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Arizona,1998,1,14,14
"<!----><a ng-href=""/stats/player/757/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/757/""> Damon Stoudamire <!----> <!---->","<a ng-href=""/stats/team/1610612761/"" href=""/stats/team/1610612761/"">Toronto Raptors",Arizona,1995,1,7,7
"<!----><a ng-href=""/stats/player/234/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/234/""> Khalid Reeves <!----> <!---->","<a ng-href=""/stats/team/1610612748/"" href=""/stats/team/1610612748/"">Miami Heat",Arizona,1994,1,12,12
"<!----><a ng-href=""/stats/player/168/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/168/""> Chris Mills <!----> <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Arizona,1993,1,22,22
"<!----><a ng-href=""/stats/player/183/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/183/""> Bison Dele <!----> <!---->","<a ng-href=""/stats/team/1610612753/"" href=""/stats/team/1610612753/"">Orlando Magic",Arizona,1991,1,10,10
"<!----><a ng-href=""/stats/player/251/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/251/""> Sean Elliott <!----> <!---->","<a ng-href=""/stats/team/1610612759/"" href=""/stats/team/1610612759/"">San Antonio Spurs",Arizona,1989,1,3,3
"<!----><a ng-href=""/stats/player/76433/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76433/""> Anthony Cook <!----> <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Arizona,1989,1,24,24
"<!----><a ng-href=""/stats/player/76553/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76553/""> Larry Demic <!----> <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Arizona,1979,1,9,9
"<!----><a ng-href=""/stats/player/1627788/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1627788/""> Furkan Korkmaz <!----> <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Anadolu Efes S.K. (Turkey),2016,1,26,26
"<!----><a ng-href=""/stats/player/2045/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2045/""> Hedo Turkoglu <!----> <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Sacramento Kings",Anadolu Efes S.K. (Turkey),2000,1,16,16
"<!----><a ng-href=""/stats/player/1726/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1726/""> Mirsad Turkcan <!----> <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Anadolu Efes S.K. (Turkey),1998,1,18,18
"<!----><a ng-href=""/stats/player/78467/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78467/""> Kermit Washington <!----> <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",American,1973,1,5,5
"<!----><a ng-href=""/stats/player/77401/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77401/""> Kevin Loder <!----> <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Kansas City Kings",Alabama State,1981,1,17,17
"<!----><a ng-href=""/stats/player/1630563/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630563/""> Joshua Primo <!----> <!---->","<a ng-href=""/stats/team/1610612759/"" href=""/stats/team/1610612759/"">San Antonio Spurs",Alabama,2021,1,12,12
"<!----><a ng-href=""/stats/player/1630184/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1630184/""> Kira Lewis Jr. <!----> <!---->","<a ng-href=""/stats/team/1610612740/"" href=""/stats/team/1610612740/"">New Orleans Pelicans",Alabama,2020,1,13,13
"<!----><a ng-href=""/stats/player/1629012/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/1629012/""> Collin Sexton <!----> <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Alabama,2018,1,8,8
"<!----><a ng-href=""/stats/player/2222/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/2222/""> Gerald Wallace <!----> <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Sacramento Kings",Alabama,2001,1,25,25
"<!----><a ng-href=""/stats/player/964/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/964/""> Roy Rogers <!----> <!---->","<a ng-href=""/stats/team/1610612763/"" href=""/stats/team/1610612763/"">Vancouver Grizzlies",Alabama,1996,1,22,22
"<!----><a ng-href=""/stats/player/686/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/686/""> Antonio McDyess <!----> <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Los Angeles Clippers",Alabama,1995,1,2,2
"<!----><a ng-href=""/stats/player/679/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/679/""> Jason Caffey <!----> <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Alabama,1995,1,20,20
"<!----><a ng-href=""/stats/player/381/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/381/""> James Robinson <!----> <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Alabama,1993,1,21,21
"<!----><a ng-href=""/stats/player/109/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/109/""> Robert Horry <!----> <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Alabama,1992,1,11,11
